stage,period,rows,elevators,prevalence,pr_auc,roc_auc,brier_score,precision,recall,false_positives,false_negatives,threshold,notes
development_validation,rolling validation; operating metrics on 2024-11-01 through 2025-01-01,966,324,0.468944099378882,0.715757570715045,0.7313168867717491,0.20705322868399115,0.6262230919765166,0.7064017660044151,191,133,0.4433219097353501,Model and threshold selected from development only; fold-4 metrics use the fixed threshold selected on folds 1-3.
frozen_test,2025-02-01 through 2025-04-01,974,326,0.3993839835728953,0.6480035075956689,0.7168061872432052,0.20997589459948918,0.5263157894736842,0.6940874035989717,243,119,0.4433219097353501,One-time final evaluation; not used for tuning.
prospective_external,2025-06-01 through 2026-03-01,3425,346,0.43766423357664236,0.6530076693765364,0.7119943929390102,0.21371088654012177,0.5642781875658588,0.71447631754503,827,428,0.4433219097353501,External target-known later-month evaluation; not used for tuning or retraining.
